Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
MuMs: Energy-Aware VM Selection Scheme for Cloud Data Center,R. Yadav; W. Zhang; H. Chen; T. Guo,NA; NA; NA; NA,2017 28th International Workshop on Database and Expert Systems Applications (DEXA),,2017,,,132,136,"The energy consumption of data centers has been increasing continuously during the last years due to the rising demands of computational power especially in current Grid- and Cloud Computing systems, which directly influence the increment in operational costs as well as carbon dioxide (CO<sub>2</sub>) emission. To reduce energy consumption within the cloud data center, it required energy-aware virtual machines (VMs) selection algorithms for VM consolidation at time host detected underloaded and overloaded and after allocating resources to all VMs from the underloaded hosts required to turn into energy saving-mode. In this paper, we propose energy-aware dynamic VM selection algorithms for consolidating the VMs from overloaded or underloaded host for minimising the total energy consumption and maximise the Quality of Service (QoS) include the reduction of service level agreements (SLAs) violation. To validate our scheme, we implemented it using CloudSim simulator and conducted simulations on the 10 different day's real workloads trace, which provided by the PlanetLab.",2378-3915,978-1-5386-1051-0978-1-5386-1050-3978-1-5386-2207,10.1109/DEXA.2017.43,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8049701,Cloud Computing;Data center;Energy-Efficiency;VM Selection;and Green Computing,Cloud computing;Servers;Energy consumption;Measurement;Heuristic algorithms;Algorithm design and analysis,cloud computing;computer centres;contracts;energy consumption;power aware computing;quality of service;virtual machines,energy-aware VM selection scheme;cloud data center;virtual machines;total energy consumption minimisation;quality of service;QoS;service level agreements;SLA violation reduction;CloudSim simulator;PlanetLab;maximum utilization minimum size scheme;MuMs scheme,,2,,14,,,,,,IEEE,IEEE Conferences
A New Model for Energy Consumption Optimization under Cloud Computing and its Genetic Algorithm,H. Zhu; X. Wang; H. Wang,NA; NA; NA,2014 Tenth International Conference on Computational Intelligence and Security,,2014,,,7,11,"How to reduce energy consumption under the restraints of satisfying customer service level by effective resource allocation and scheduling has become a key issue in cloud computing. In this paper, we propose a new resources-allocation and scheduling architecture for energy consumption optimization. Based on this architecture, a new energy consumption optimization model is designed to meet the real-time Service Level Agreement (SLA). The proposed model optimizes energy consumption both on system level and component level. On system level, a new virtual machine deployment algorithm based on grouping genetic algorithm is proposed to minimize systems' idle energy consumption, which abstracts the mapping between virtual machines and servers into a multidimensional variable packing problem. On component level, dynamic voltage power adjustment technology is used to reduce energy consumption on execution. Therefore, energy consumption can be reduced on both levels with premise of meeting users' requirements. Experimental results show that compared with other algorithms, the proposed one can greatly reduce the total energy consumption of cloud computing systems under the same conditions.",,978-1-4799-7434-4978-1-4799-7433,10.1109/CIS.2014.171,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7016842,cloud computing;real-time task;energy consumption optimization;virtual machine deployment,Virtual machining;Energy consumption;Servers;Cloud computing;Vectors;Optimization;Genetic algorithms,cloud computing;customer services;energy consumption;genetic algorithms;resource allocation;scheduling;virtual machines,genetic algorithm;customer service level;resource allocation;scheduling architecture;energy consumption optimization model;service level agreement;SLA;component level;system level;virtual machine deployment algorithm;multidimensional variable packing problem;dynamic voltage power adjustment technology;cloud computing systems,,,,8,,,,,,IEEE,IEEE Conferences
Energy-Aware Dynamic Virtual Machine Consolidation for Cloud Datacenters,H. Wang; H. Tianfield,"School of Computer Science Information and Engineering, Shanghai Institute of Technology, Shanghai, China; Department of Computer, Communications and Interactive Systems, Glasgow Caledonian University, Glasgow, U.K.",IEEE Access,,2018,6,,15259,15273,"Resource over provisioning in cloud computing consumes energy excessively. Energy-aware dynamic virtual machine consolidation (DVMC) reduces energy consumption without compromising service level agreement. In this paper, we put forward a new framework of DVMC for green cloud computing. In particular, we propose a new virtual machine (VM) placement policy, namely, space aware best fit decreasing (SABFD) and a new migration VM selection policy, namely, high CPU utilization-based migration VM selection (called HS). Thorough simulations are carried out to evaluate the performances of different energy-aware DVMC plans based on real-world workload traces, with DVMC plans as various combinations of host overload detection, migration VM selection, and VM placement policies. The simulation results show that DVMC plans with SABFD policy or with HS policy outperforms alternative DVMC plans. What is more, a DVMC plan with both SABFD and HS policies makes the best performance.",2169-3536,,10.1109/ACCESS.2018.2813541,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308710,Cloud computing;green cloud computing;dynamic virtual machine consolidation;virtual machine placement;cloud datacenter,Cloud computing;Energy consumption;Resource management;Virtual machining;Green products;Monitoring;Servers,cloud computing;computer centres;contracts;energy consumption;power aware computing;virtual machines,virtual machine placement policy;space aware best fit decreasing;migration VM selection policy;DVMC plan;VM placement policies;HS policy;energy-aware dynamic virtual machine consolidation;cloud datacenters;energy consumption;green cloud computing;energy-aware DVMC plans;SABFD policies;HS policies;service level agreement,,1,,19,,,,,,IEEE,IEEE Journals & Magazines
Integrating Heuristic and Machine-Learning Methods for Efficient Virtual Machine Allocation in Data Centers,A. Pahlevan; X. Qu; M. Zapater; D. Atienza,"Embedded Systems Laboratory (ESL), Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland; Embedded Systems Laboratory (ESL), Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland; Embedded Systems Laboratory (ESL), Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland; Embedded Systems Laboratory (ESL), Swiss Federal Institute of Technology Lausanne (EPFL), Lausanne, Switzerland",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,2018,37,8,1667,1680,"Modern cloud data centers (DCs) need to tackle efficiently the increasing demand for computing resources and address the energy efficiency challenge. Therefore, it is essential to develop resource provisioning policies that are aware of virtual machine (VM) characteristics, such as CPU utilization and data communication, and applicable in dynamic scenarios. Traditional approaches fall short in terms of flexibility and applicability for large-scale DC scenarios. In this paper, we propose a heuristic- and a machine learning (ML)-based VM allocation method and compare them in terms of energy, quality of service (QoS), network traffic, migrations, and scalability for various DC scenarios. Then, we present a novel hyper-heuristic algorithm that exploits the benefits of both methods by dynamically finding the best algorithm, according to a user-defined metric. For optimality assessment, we formulate an integer linear programming (ILP)-based VM allocation method to minimize energy consumption and data communication, which obtains optimal results, but is impractical at runtime. Our results demonstrate that the ML approach provides up to 24% server-to-server network traffic improvement and reduces execution time by up to $480{\times }$ compared to conventional approaches, for large-scale scenarios. On the contrary, the heuristic outperforms the ML method in terms of energy and network traffic for reduced scenarios. We also show that the heuristic and ML approaches have up to 6% energy consumption overhead compared to ILP-based optimal solution. Our hyper-heuristic integrates the strengths of both the heuristic and the ML methods by selecting the best one during runtime.",0278-0070;1937-4151,,10.1109/TCAD.2017.2760517,YINS RTD project through Nano-Tera.ch with Swiss Confederation Financing and scientifically evaluated by Swiss National Science Foundation (SNSF); European Commission; European Research Council (ERC) Consolidator Grant COMPUSAPIEN; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8060572,Cloud data centers (DCs);energy-network traffic tradeoffs;greedy heuristic;hyper heuristic;integer linear programming (ILP);machine learning (ML);quality of service (QoS);scalability assessment,Servers;Resource management;Energy consumption;Correlation;Data communication;Quality of service,cloud computing;computer centres;integer programming;learning (artificial intelligence);linear programming;optimisation;power aware computing;quality of service;resource allocation;virtual machines,resource provisioning policies;virtual machine characteristics;data communication;dynamic scenarios;large-scale DC scenarios;machine learning-based VM allocation method;integer linear programming-based VM allocation method;ML approach;efficient virtual machine allocation;computing resources;hyper-heuristic algorithm;energy consumption overhead;cloud data centers;server-to-server network traffic improvement,,,,36,,,,,,IEEE,IEEE Journals & Magazines
Energy aware SLA and green cloud federations,N. Joy; K. Chandrasekaran; A. Binu,"Department of IT, Rajagiri School of Engineering and Technology, Kerala 682 039, India; Department of CSE, National Institute of Technology Karnataka, Surathkal 575 025, India; Department of IT, Rajagiri School of Engineering and Technology, Kerala 682 039, India","2016 IEEE Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",,2016,,,7,11,"Cloud computing has been an emerging research topic since 2007. The online services are delivered as pay-as-you-use in Cloud computing. The customers need not be in a long term contract with Cloud Service Providers (CSPs). Service level agreements (SLAs) are agreements signed between a cloud service provider and customers. Energy aware SLAs extend the existing SLA agreements in order to include energy and carbon aware parameters. The efficiency and availability of the system are not disturbed when certain jobs are relaxed in order to obtain high energy consumption. In order to increase the energy consumption further we incorporated the concept of cloud federations in which a group of CSPs, mutually agree to make use of their resources to execute the VMs of other CSPs. An algorithm based on the amount of energy consumed by different CSPs is being readily implemented. This algorithm grant a group of CSPs to jointly set the federations in a manner to distribute their work equally so as to reduce the energy consumed. The results from the above approach show that it can be considered as a hopeful solution to the problem of reducing the energy cost even though there are a few challenges during implementation.",,978-1-5090-1623-5978-1-5090-1624,10.1109/DISCOVER.2016.7806217,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7806217,Cloud Computing;Service Level Agreements;Energy Aware SLA;Cloud Federation,Cloud computing;Energy consumption;Carbon dioxide;Organizations;Green products;Computational modeling;Electronic mail,cloud computing;contracts;energy conservation;power aware computing;virtual machines,energy cost reduction;energy consumption reduction;CSP;cloud service providers;VM;service level agreements;cloud computing;green cloud federations;energy aware SLA,,1,,15,,,,,,IEEE,IEEE Conferences
Energy-Efficient Resource Provisioning with SLA Consideration on Cloud Computing,J. Liao; C. Chang; Y. Hsu; X. Zhang; K. Lai; C. Hsu,NA; NA; NA; NA; NA; NA,2012 41st International Conference on Parallel Processing Workshops,,2012,,,206,211,"Cloud computing aims at reducing energy consumption and maximizing resource efficiency without violating service level agreement (SLA). To address these important issues, this study proposes an energy-efficient resource provisioning technology with SLA consideration for virtual machine scheduling. According to SLAs, the resource manager could consolidate virtual machines onto the physical machine for meeting customers SLA requests. Experimental results show that the proposed approach outperforms other proposed ones in power consumption.",0190-3918;1530-2016;2332-5690,978-1-4673-2509-7978-0-7695-4795,10.1109/ICPPW.2012.31,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337482,Cloud Computing;Virtualization;Energy Saving;Resource Provisioning;Service Level Agreement,Energy consumption;Virtual machining;Power demand;Energy efficiency;Memory management;Cloud computing,cloud computing;power aware computing;virtual machines,SLA consideration;cloud computing;energy consumption;service level agreement;energy-efficient resource provisioning technology;virtual machine scheduling;physical machine;power consumption,,7,,19,,,,,,IEEE,IEEE Conferences
Energy efficient strategy for task allocation and VM placement in cloud environment,P. D. Bharathi; P. Prakash; M. V. K. Kiran,"Department of Computer Science and Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham Amrita University, India; Department of Computer Science and Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham Amrita University, India; Department of Computer Science and Engineering, Amrita School of Engineering, Coimbatore, Amrita Vishwa Vidyapeetham Amrita University, India",2017 Innovations in Power and Advanced Computing Technologies (i-PACT),,2017,,,1,6,"The prominent technology that drives the industry now-a-days is cloud computing. The growth of cloud computing has resulted in the setup of large number of data centers around the world. The data centers consume more power making it source for the carbon dioxide emission. The cloud computing allows users to utilize and access resources from the data centers when they demand rather than owning it. Load balancing is challenging when the workload is dynamic. A two level scheduling is proposed for load balancing taking into consideration the energy efficiency, power consumption and effective resource utilization satisfying the Quality of Service (QoS) service for the consumers with reduced SLA violation. In the first level of scheduling main focus is on the Task scheduling to VMs in which the technique of genetic algorithm and particle swarm optimization (PSO) is combined, a hybrid approach. The second level includes the placement of Virtual Machines to suitable Physical Machines by using Power aware best-fit algorithm in which the number of active servers are reduced and energy consumption is reduced. The paper focuses on study of load balancing and VM placement techniques.",,978-1-5090-5682-8978-1-5090-5683,10.1109/IPACT.2017.8244950,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8244950,Task scheduling;Virtualization;VM Placement;Energy efficiency;Resource utilization,Load management;Cloud computing;Algorithm design and analysis;Resource management;Genetic algorithms;Heuristic algorithms,cloud computing;computer centres;energy conservation;genetic algorithms;particle swarm optimisation;power aware computing;quality of service;resource allocation;scheduling;virtual machines,cloud computing;data centers;load balancing;power consumption;energy consumption;VM placement techniques;energy efficient strategy;task allocation;cloud environment;resource utilization;quality of service;task scheduling;two level scheduling;power aware best-fit algorithm;QoS;genetic algorithm;particle swarm optimization;PSO,,,,16,,,,,,IEEE,IEEE Conferences
Energy-Aware Virtual Machine Consolidation for Cloud Data Centers,D. A. Alboaneen; B. Pranggono; H. Tianfield,NA; NA; NA,2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing,,2014,,,1010,1015,"One of the issues in virtual machine consolidation (VMC) in cloud data centers is categorizing different workloads to classify the state of physical servers. In this paper, we propose a new scheme of host's load categorization in energy-performance VMC framework to reduce energy consumption while meeting the quality of service (QoS) requirement. Specifically the under loaded hosts are classified into three further states, i.e., Under loaded, normal and critical by applying the under load detection algorithm. We also design overload detection and virtual machine (VM) selection policies. The simulation results show that the proposed policies outperform the existing policies in Cloud Sim in terms of both energy and service level agreements violation (SLAV) reduction.",,978-1-4799-7881,10.1109/UCC.2014.166,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7027633,virtual machine consolidation (VMC);energy-aware;energy-efficient;cloud data center,Energy consumption;Heuristic algorithms;Measurement;Degradation;Virtual machining;Quality of service;Bandwidth,cloud computing;computer centres;energy conservation;power aware computing;virtual machines,energy-aware virtual machine consolidation;cloud data centers;VMC;workload categorization;energy-performance VMC framework;energy consumption reduction;QoS requirement;quality of service;load detection algorithm;VM selection policy;overload detection policy;service level agreements violation reduction;SLAV reduction,,11,,13,,,,,,IEEE,IEEE Conferences
Enhanced Weighted Round Robin (EWRR) with DVFS Technology in Cloud Energy-Aware,A. Alnowiser; E. Aldhahri; A. Alahmadi; M. M. Zhu,NA; NA; NA; NA,2014 International Conference on Computational Science and Computational Intelligence,,2014,1,,320,326,"In recent years, the rapid evolving Cloud Computing technologies multiply challenges including minimizing power consumption and meeting Quality-of- Services (QoS) requirements in the presence of heavy workloads from a large number of users using shared computing resources. Powering a middle-sized data center normally consumed 80,000kW power every year and computer servers consume around 5% of the global power [1]. In order to address the skyrocket energy cost from the high level resource management aspect, we propose an energy efficient job scheduling approach based on a modified version of Weighted Round Robin scheduler that incorporates VMs reuse and live VM migration without compromising the Service Level Agreement (SLA). Enhanced Weighted Round Robin (EWRR) algorithm enhanced scheduler can monitor the running VMs status for possible VM consolidation or Migration. In addition, VM Manager observes the VMs utilization rate to start live migration from the over-utilizing Processing Element (PE) to under-utilized PEs or to the hibernated PEs by sending WOL (Wake-On-LAN) signal to activate them. Moreover, we have integrated our Dynamic Voltage and Frequency Scaling (DVFS) algorithm in CPU utilization model to specify the required frequency for each task depending on the task complexity and the deadline.",,978-1-4799-3010,10.1109/CSCI.2014.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6822129,Cloud Computing;VM scheduling;DVFS;Weighted Round Robin,Virtual machining;Resource management;Energy consumption;Round robin;Algorithm design and analysis;Heuristic algorithms;Frequency control,cloud computing;computer centres;contracts;power aware computing;quality of service;scheduling;system monitoring;virtual machines,enhanced weighted round robin;DVFS technology;rapid evolving cloud computing technologies;power consumption minimization;quality-of- services;QoS requirements;shared computing resources;middle-sized data center;computer servers;energy cost;high level resource management;energy efficient job scheduling approach;VM reuse;live VM migration;service level agreement;SLA;EWRR algorithm enhanced scheduler;running VM status monitoring;VM consolidation;VM Manager;VM utilization rate;overutilizing processing element;underutilized PE;hibernated PE;WOL signal;Wake-On-LAN signal;dynamic voltage and frequency scaling algorithm;DVFS algorithm;CPU utilization model;task complexity;task deadline,,6,,30,,,,,,IEEE,IEEE Conferences
A Research Paper of Existing Live VM Migration and a Hybrid VM Migration Approach in Cloud Computing,P. C. Nayak; D. Garg; A. k. Shakva; P. Saini,"Department of Computer Application, National Institute Of Technology, Kurukshetra, Haryana, India; Department of Computer Application, National Institute Of Technology, Kurukshetra, Haryana, India; Department of Computer Application, National Institute Of Technology, Kurukshetra, Haryana, India; Department of Computer Application, National Institute Of Technology, Kurukshetra, Haryana, India",2018 2nd International Conference on Trends in Electronics and Informatics (ICOEI),,2018,,,720,725,"With rapid increases in Cloud users and their workload, the Qos (quality of service) is decreasing proportionally. Providing better computing services, managing large number of cloud users and reducing time as well as energy on cloud data center can only be achieved by efficient live VM migration technique. Modern cloud computing service mainly depends upon live VM migration. In this paper we have reviewed all the existing live VM migration techniques with their advantages and disadvantages. Their working and application with future scope has been stated briefly. Comparisons have been done between Pre-copy and Post-copy VM Migration techniques by simulation corresponding to CPU uses, Memory and Network as parameters. Then a Hybrid VM Migration technique has been proposed and by comparison we proved it is better than the pre copy and post copy.",,978-1-5386-3570-4978-1-5386-3569-8978-1-5386-3571,10.1109/ICOEI.2018.8553741,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8553741,Hybrid Copy;Pre-copy;Post-copy;Virtual machine;Virtualization,Servers;Cloud computing;Conferences;Data centers;Virtual machining;Virtualization;Memory management,cloud computing;computer centres;quality of service;resource allocation;virtual machines,live VM migration techniques;post-copy VM migration techniques;hybrid VM migration technique;modern cloud computing service;efficient live VM migration technique;cloud data center;quality of service;cloud users;rapid increases;Hybrid VM Migration approach;research paper,,,,14,,,,,,IEEE,IEEE Conferences
Availability-aware energy-efficient virtual machine placement,Z. Yang; L. Liu; C. Qiao; S. Das; R. Ramesh; A. Y. Du,"Department of Computer Science and Engineering, University at Buffalo (SUNY), NY, USA; Key Lab of Optical Fiber Sensing and Communications, Ministry of Education, UESTC, Chengdu, China; Department of Computer Science and Engineering, University at Buffalo (SUNY), NY, USA; Management Science and Systems Department, University at Buffalo (SUNY), NY, USA; Management Science and Systems Department, University at Buffalo (SUNY), NY, USA; Management Science and Systems Department, University at Buffalo (SUNY), NY, USA",2015 IEEE International Conference on Communications (ICC),,2015,,,5853,5858,"Availability, as a part of Service Level Agreement (SLA), is a critically important issue in cloud services, as an application may not be able to run after certain server or network failures. Cloud service providers seek to not only fulfill the SLA, but also simultaneously minimize their operating costs, which are dominated by the energy consumption. In order to minimize the impact of a server/switch failure inside the datacenter on a single application, one would like to spread out the Virtual Machines (VM) for the application across different racks. However, in doing so, the power consumption may increase significantly. In this paper, we develop a variance-based metric to measure the risk of violating the availability requirement. We then propose two heuristic algorithms to place VMs in online and offline manners, respectively. These algorithms aim to strike a balance between minimizing the risk of violating the availability requirement and minimizing the energy, in order to reduce the overall cost.",1550-3607;1938-1883,978-1-4673-6432-4978-1-4673-6431,10.1109/ICC.2015.7249255,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7249255,Datacenter;availability;energy;risk,Servers;Energy consumption;Switches;Silicon;Linear programming;Quality of service;Standards,cloud computing;contracts;energy conservation;power aware computing;power consumption;virtual machines,availability aware energy efficient virtual machine placement;service level agreement;SLA;cloud service;server failure minimization;network failure minimization;energy consumption;switch failure minimization;VM;power consumption;heuristic algorithm;operating cost minimization,,5,,14,,,,,,IEEE,IEEE Conferences
An Energy-Aware Resource Allocation Heuristics for VM Scheduling in Cloud,J. Wang; C. Huang; K. He; X. Wang; X. Chen; K. Qin,NA; NA; NA; NA; NA; NA,2013 IEEE 10th International Conference on High Performance Computing and Communications & 2013 IEEE International Conference on Embedded and Ubiquitous Computing,,2013,,,587,594,"Energy consumption has become a major concern to the widespread deployment of cloud data centers. Many techniques have been devised to help reduce energy consumption for cloud data centers that consist of a large number of identical servers, including dynamic allocation of active servers, consolidating diverse applications, and adjusting the CPU frequency of an active server. However, these techniques normally have a high migration and low resource utilization. CPU and memory is the dominant factors of the performance and energy consumption and whose allocation determines the energy efficiency of cloud system. Leveraging these techniques, we focus on the problem of VM placement, propose a heuristic greedy algorithm to implement VM deployment and live migration to maximize total resource utilization and minimize energy consumption, which is based on energy-aware and quadratic exponential smoothing method to predict the workloads. Our heuristic algorithm makes CPU-intensive services and memory-intensive services mapped to the same physical server more complementary. The experiment results show that there is significant improvement in the aspect of energy saving, workload balancing and scalability, compared with single-objective approaches based on CPU utilization.",,978-0-7695-5088,10.1109/HPCC.and.EUC.2013.89,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6831971,Energy-aware;Virtual Machine Placement;Workload Prediction;Cloud Computing,Servers;Resource management;Energy consumption;Cloud computing;Energy efficiency;Prediction algorithms;Quality of service,cloud computing;computer centres;energy conservation;energy consumption;file servers;greedy algorithms;integer programming;linear programming;power aware computing;resource allocation;scheduling;smoothing methods;virtual machines;virtualisation,energy-aware resource allocation heuristics;VM scheduling;cloud data centers;energy consumption reduction;identical servers;dynamic active server allocation;CPU frequency adjustment;energy efficiency;cloud system;VM placement;heuristic greedy algorithm;VM deployment;live migration;total resource utilization maximization;energy consumption minimization;quadratic exponential smoothing method;workload prediction;CPU-intensive services;memory-intensive services;physical server;energy saving;workload balancing;scalability;CPU utilization;virtualized data center;energy minimum ILP problem;integer linear programming,,4,,24,,,,,,IEEE,IEEE Conferences
Alternatives to VM consolidation techniques for energy aware cloud computing,A. Kaur; A. Diwakar; R. Vashisht,"USICT, GGSIPU Delhi, India; USICT, GGSIPU Delhi, India; USICT, GGSIPU Delhi, India","2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)",,2017,,,2005,2009,"The extreme growth in deployment of cloud based services along with applications requiring high computational complexity has had an adverse effect on energy consumption in data centers. When cloud data centers add more computing capacity and increase in size, they generate more heat, require extra cooling. To counter this effect, energy dissipation must be reduced. Servers consume power even when on idle, hence energy aware techniques in cloud are required for proper load balancing. Dynamic VM consolidation techniques aim to reduce power consumption and optimizing the usage of resources on the cloud, in addition to maintaining the Service Level Agreements (SLA). We present some alternative robust techniques for dynamic VM consolidation and compare them with existing techniques in simulator CloudSIM.",,978-1-5090-6367-3978-1-5090-6366-6978-1-5090-6368,10.1109/ICACCI.2017.8126139,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8126139,Green cloud;energy aware;power aware;dynamic VM consolidation;CloudSIM,Cloud computing;Virtual machining;Energy consumption;Robustness;Servers;Measurement,cloud computing;computer centres;contracts;power aware computing;resource allocation;virtual machines,energy dissipation;power consumption;Service Level Agreements;energy aware cloud computing;energy consumption;cloud data centers;load balancing;computational complexity;dynamic VM consolidation,,,,11,,,,,,IEEE,IEEE Conferences
EQVMP: Energy-efficient and QoS-aware virtual machine placement for software defined datacenter networks,Shao-Heng Wang; P. P. -. Huang; C. H. -. Wen; L. Wang,"Institute of Electrical and Computer Engineering, National Chiao Tung University, Taiwan; Institute of Electrical and Computer Engineering, National Chiao Tung University, Taiwan; Institute of Electrical and Computer Engineering, National Chiao Tung University, Taiwan; Institute of Electrical and Computer Engineering, National Chiao Tung University, Taiwan",The International Conference on Information Networking 2014 (ICOIN2014),,2014,,,220,225,"To provide effective and reliable services, cloud datacenters need parallel computing and virtualization techniques. This work presents an improved virtual machine (VM) placement mechanism, called Energy efficiency and Quality of Service (QoS) aware VM Placement (EQVMP) to overcome the problem of unbalanced traffic load in switching on and off VMs for the purpose of energy saving. EQVMP combines three key techniques: (1) hop reduction, (2) energy saving and (3) load balancing. Hop reduction can regroup VMs to lower the traffic load among them. Energy saving techniques aim at choosing the appropriate servers. The proposed load balancing updates VM placement periodically. Our experimental results show that the proposed scheme can lower energy consumption and maintain QoS. We propose an evaluation score [1] to assess VM placement in terms of energy, delay and throughput. Comparing to other existing placement policies, our proposed mechanism can enhance system throughput by 25% and can have better evaluation score.",1550-445X;2332-5658,978-1-4799-3689,10.1109/ICOIN.2014.6799695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6799695,,Servers;Routing;Quality of service;Delays;Throughput;Bandwidth;Resource management,cloud computing;computer centres;computer networks;quality of service;resource allocation;telecommunication traffic;virtual machines,EQVMP;energy-efficient and QoS-aware virtual machine placement;software defined data center networks;cloud data centers;parallel computing;virtualization techniques;VM placement mechanism;quality of service;unbalanced traffic load;hop reduction;traffic load;energy saving techniques;load balancing updates;energy consumption,,6,,32,,,,,,IEEE,IEEE Conferences
A novel approach for multi-dimensional variable sized virtual machine allocation and migration at cloud data center,N. K. Sharma; G. R. M. Reddy,"Department of Information Technology, National Institute of Technology Karnataka, Surathkal, Mangalore India; Department of Information Technology, National Institute of Technology Karnataka, Surathkal, Mangalore India",2017 9th International Conference on Communication Systems and Networks (COMSNETS),,2017,,,383,384,"In this paper, we propose a branch-and-bound based exact algorithm for allocating multi-dimensional variable sized VMs at the cloud data center. Further, an energy efficient VMs migration technique is proposed to reduce the energy consumption and thus avoids the Service Level Agreement (SLA) violation at the cloud data center.",2155-2509,978-1-5090-4250-0978-1-5090-4251,10.1109/COMSNETS.2017.7945404,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7945404,,Resource management;Cloud computing;Random access memory;Energy consumption;Power demand;Upper bound,cloud computing;computer centres;contracts;energy conservation;energy consumption;resource allocation;tree searching;virtual machines,multidimensional variable sized virtual machine allocation;cloud data center;branch-and-bound based exact algorithm;energy efficient VM migration technique;energy consumption reduction;Service Level Agreement violation;SLA violation,,,,2,,,,,,IEEE,IEEE Conferences
A hybrid queuing model for Virtual Machine placement in cloud data center,S. K. Addya; A. K. Turuk; B. Sahoo; M. Sarkar,"Department of Computer Science and Engineering, National Institute of Technology, Rourkela, India; Department of Computer Science and Engineering, National Institute of Technology, Rourkela, India; Department of Computer Science and Engineering, National Institute of Technology, Rourkela, India; Department of Electrical and Computer Engineering, San Diego State University, CA, USA",2015 IEEE International Conference on Advanced Networks and Telecommuncations Systems (ANTS),,2015,,,1,3,"Virtual Machine (VM) placement is an important research area for power conservation in data centers. In this paper, we introduce a hybrid queuing model for VM placement for data centers to improve total placement time and earn more revenue. For the large data center management smaller placement times lead to greater quality of service (QoS) experienced by an user of the cloud infrastructure. Similarly, the larger the number of VMs that can be placed in a server racks, higher the justification of the placement cost. We thus propose a ILP, that provides maximum justification of the revenue earn along with minimizing placement time. In addition, we also study the rate of loss of VM placement requests and total utilization of the system as the arrival rate of VMs increase.",2153-1684,978-1-5090-0293-1978-1-5090-0292,10.1109/ANTS.2015.7413642,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7413642,Cloud computing;Virtual machine;Placement time;Revenue,Mathematical model;Servers;Computational modeling;Cloud computing;Queueing analysis;Data models;Electronic mail,cloud computing;computer centres;quality of service;queueing theory;telecommunication power management;virtual machines,cloud infrastructure;QoS;quality of service;data center management;power conservation;cloud data center;virtual machine placement;hybrid queuing model,,3,,6,,,,,,IEEE,IEEE Conferences
